A,B,C,D,E,F,G,H,I
84,84,185,70,1.2299,30.521,41.859,-13.96,0
85,85,185,70,1.2299,30.651,37.94,-14.395,0
86,86,185,70,1.2299,30.568,33.627,-15.087,0
87,87,185,70,1.2299,30.24,28.976,-16.032,0
88,88,185,70,1.2299,29.678,24.147,-17.064,0
89,89,185,70,1.2299,28.961,19.415,-17.849,0
90,90,185,70,1.2299,28.225,15.062,-18.168,0
91,91,185,70,1.2299,27.574,11.271,-18.156,0
92,92,185,70,1.2299,27.049,8.0902,-18.172,0
93,93,185,70,1.2299,26.622,5.4579,-18.463,0
94,94,185,70,1.2299,26.256,3.3233,-18.996,0
95,95,185,70,1.2299,25.972,1.8239,-19.557,0
96,96,185,70,1.2299,25.841,1.2432,-19.932,0
97,97,185,70,1.2299,25.902,1.81,-19.965,0
98,98,185,70,1.2299,26.099,3.4827,-19.514,0
99,99,185,70,1.2299,26.313,5.9494,-18.548,0
100,100,185,70,1.2299,26.392,8.6342,-17.388,0
0,0,172,63,1.8067,25.402,2.6616,-26.535,16.48
1,1,172,63,1.8067,24.781,2.9358,-28.905,205.01
2,2,172,63,1.8067,24.509,3.4265,-31.881,378.96
3,3,172,63,1.8067,24.938,4.9139,-34.101,520.65
4,4,172,63,1.8067,25.998,7.7239,-34.722,622.51
5,5,172,63,1.8067,27.181,11.391,-33.887,686.91
6,6,172,63,1.8067,27.79,14.827,-32.342,722.6
7,7,172,63,1.8067,27.329,17.013,-30.731,739.96
8,8,172,63,1.8067,25.941,17.9,-29.24,747.32
9,9,172,63,1.8067,24.045,17.91,-27.906,749.34
10,10,172,63,1.8067,22.013,17.395,-26.872,747.23
11,11,172,63,1.8067,20.019,16.484,-26.318,740.04
12,12,172,63,1.8067,18.121,15.235,-26.264,726.23
13,13,172,63,1.8067,16.406,13.862,-26.429,704.83
14,14,172,63,1.8067,14.972,12.705,-26.374,676.05
15,15,172,63,1.8067,13.856,12.001,-25.823,641.36
16,16,172,63,1.8067,12.971,11.754,-24.816,603.15
17,17,172,63,1.8067,12.124,11.72,-23.66,564.15
18,18,172,63,1.8067,11.086,11.522,-22.741,526.87
19,19,172,63,1.8067,9.7094,10.867,-22.297,493.15
20,20,172,63,1.8067,8.0196,9.7506,-22.269,463.94
21,21,172,63,1.8067,6.1487,8.3503,-22.457,439.34
22,22,172,63,1.8067,4.2665,6.9077,-22.662,418.82
23,23,172,63,1.8067,2.5191,5.623,-22.768,401.52
24,24,172,63,1.8067,1.0121,4.6199,-22.728,386.7
25,25,172,63,1.8067,-0.20065,3.936,-22.557,373.93
26,26,172,63,1.8067,-1.1263,3.5356,-22.311,363.3
27,27,172,63,1.8067,-1.8229,3.3445,-22.054,355.37
28,28,172,63,1.8067,-2.403,3.2605,-21.81,351.02
29,29,172,63,1.8067,-2.9944,3.1967,-21.536,351.2
30,30,172,63,1.8067,-3.6869,3.1334,-21.138,356.65
31,31,172,63,1.8067,-4.5023,3.1314,-20.542,367.72
32,32,172,63,1.8067,-5.4403,3.255,-19.753,384.28
33,33,172,63,1.8067,-6.5194,3.5122,-18.854,405.77
34,34,172,63,1.8067,-7.7598,3.8515,-17.968,431.42
35,35,172,63,1.8067,-9.1511,4.1995,-17.212,460.45
36,36,172,63,1.8067,-10.636,4.4974,-16.655,492.24
37,37,172,63,1.8067,-12.102,4.7377,-16.29,526.41
38,38,172,63,1.8067,-13.429,4.9726,-16.072,562.83
39,39,172,63,1.8067,-14.525,5.2945,-15.967,601.43
40,40,172,63,1.8067,-15.36,5.7934,-15.981,642.06
41,41,172,63,1.8067,-15.967,6.5074,-16.155,684.14
42,42,172,63,1.8067,-16.412,7.4012,-16.54,726.37
43,43,172,63,1.8067,-16.769,8.3766,-17.134,766.41
44,44,172,63,1.8067,-17.084,9.3693,-17.907,800.64
45,45,172,63,1.8067,-17.377,10.379,-18.847,824.29
46,46,172,63,1.8067,-17.666,11.456,-19.985,831.86
47,47,172,63,1.8067,-17.974,12.651,-21.398,818.05
48,48,172,63,1.8067,-18.31,13.986,-23.197,779.13
49,49,172,63,1.8067,-18.598,15.436,-25.409,714.3
50,50,172,63,1.8067,-18.658,16.999,-28.005,626.88
51,51,172,63,1.8067,-18.3,18.7,-30.958,524.55
52,52,172,63,1.8067,-17.472,20.552,-34.338,418.44
53,53,172,63,1.8067,-16.338,22.518,-38.307,320.83
54,54,172,63,1.8067,-15.227,24.549,-42.982,242.11
55,55,172,63,1.8067,-14.392,26.679,-48.047,187.89
56,56,172,63,1.8067,-13.852,29.055,-52.782,157.51
57,57,172,63,1.8067,-13.437,31.846,-56.209,144.95
58,58,172,63,1.8067,-12.913,35.089,-57.454,141.85
59,59,172,63,1.8067,-12.121,38.611,-56.164,140.63
60,60,172,63,1.8067,-10.991,42.077,-52.904,134.17
61,61,172,63,1.8067,-9.5083,45.199,-49.136,0
62,62,172,63,1.8067,-7.6445,47.845,-46.104,0
63,63,172,63,1.8067,-5.4384,50.018,-44.27,0
64,64,172,63,1.8067,-3.0549,51.773,-43.228,0
65,65,172,63,1.8067,-0.7397,53.126,-42.226,0
66,66,172,63,1.8067,1.3156,54.023,-40.822,0
67,67,172,63,1.8067,3.1107,54.423,-39.147,0
68,68,172,63,1.8067,4.7495,54.347,-37.493,0
69,69,172,63,1.8067,6.3272,53.915,-36.001,0
70,70,172,63,1.8067,7.8577,53.278,-34.615,0
71,71,172,63,1.8067,9.2874,52.499,-33.245,0
72,72,172,63,1.8067,10.567,51.5,-31.915,0
73,73,172,63,1.8067,11.715,50.175,-30.732,0
74,74,172,63,1.8067,12.811,48.472,-29.737,0
75,75,172,63,1.8067,13.973,46.434,-28.866,0
76,76,172,63,1.8067,15.291,44.146,-28.026,0
77,77,172,63,1.8067,16.748,41.661,-27.214,0
78,78,172,63,1.8067,18.169,38.949,-26.529,0
79,79,172,63,1.8067,19.331,35.95,-26.04,0
80,80,172,63,1.8067,20.1,32.641,-25.734,0
81,81,172,63,1.8067,20.495,29.08,-25.559,0
82,82,172,63,1.8067,20.646,25.372,-25.488,0
83,83,172,63,1.8067,20.674,21.613,-25.541,0
84,84,172,63,1.8067,20.632,17.864,-25.734,0
85,85,172,63,1.8067,20.531,14.165,-26.032,0
86,86,172,63,1.8067,20.407,10.57,-26.374,0
87,87,172,63,1.8067,20.319,7.1452,-26.701,0
88,88,172,63,1.8067,20.311,3.9439,-26.999,0
89,89,172,63,1.8067,20.383,0.9923,-27.316,0
90,90,172,63,1.8067,20.502,-1.6948,-27.696,0
91,91,172,63,1.8067,20.684,-3.9817,-28.112,0
92,92,172,63,1.8067,21.006,-5.5726,-28.477,0
93,93,172,63,1.8067,21.562,-6.1379,-28.704,0
94,94,172,63,1.8067,22.371,-5.5367,-28.708,0
95,95,172,63,1.8067,23.307,-3.9437,-28.331,0
96,96,172,63,1.8067,24.118,-1.9013,-27.461,0
97,97,172,63,1.8067,24.561,0.067781,-26.324,0
98,98,172,63,1.8067,24.482,1.5712,-25.66,0
99,99,172,63,1.8067,23.895,2.4429,-26.382,0
